branch_id,branch_label,mu,Lambda,sorted_position,n_halfwaves_left,n_halfwaves_right,nearest_left_reference_family,nearest_right_reference_family,tracking_mac,branch_behavior
bending_desc_01,потомок 1-й изгибной ветви,0.0875,4.845834090658321,2,1,2,1,1,0.9977304545368328,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.08875,4.849772561466446,2,1,2,1,1,0.9999802533267549,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.09125,4.857754577918724,2,1,2,1,1,0.9999238982576484,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.09375,4.865873391502245,2,1,2,1,1,0.9999275476610585,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.09625,4.874125123589473,2,1,2,1,1,0.9999309759187505,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.09875,4.882505733765825,2,1,2,1,1,0.9999341912916758,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.1,4.886743275147913,2,1,2,1,1,0.9999841175534528,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.10125,4.891011547517546,2,1,2,1,1,0.9999844815084376,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.10375,4.899638791141213,2,1,2,1,1,0.9999400161494639,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.10625,4.9083836958918745,2,1,2,1,1,0.9999426418640209,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.10875,4.917242858114447,2,1,2,1,1,0.9999450867228309,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.11125,4.926212454232548,2,1,2,1,1,0.9999473584352329,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.1125,4.930737683933818,2,1,2,1,1,0.9999872387366752,"сначала возрастает, затем убывает; максимум около μ=0.2850"
bending_desc_01,потомок 1-й изгибной ветви,0.11375,4.935289239313217,2,1,2,1,1,0.9999874918119214,"сначала возрастает, затем убывает; максимум около μ=0.2850"
