branch_id,branch_label,mu,Lambda,sorted_position,n_halfwaves_left,n_halfwaves_right,nearest_left_reference_family,nearest_right_reference_family,tracking_mac,branch_behavior,qualitative_behavior
bending_desc_01,потомок 1-й изгибной ветви,0.0,4.69268136049781,2,1,1,1,1,nan,"сначала возрастает, затем убывает; максимум около μ=0.2850",до перехода на правом плече
bending_desc_01,потомок 1-й изгибной ветви,0.28375,5.497783137999151,2,1,2,1,2,0.9997746101246276,"сначала возрастает, затем убывает; максимум около μ=0.2850",вблизи максимума
bending_desc_01,потомок 1-й изгибной ветви,0.5375,4.853419400135424,2,1,2,1,2,0.999919606114432,"сначала возрастает, затем убывает; максимум около μ=0.2850",после максимума
bending_desc_02,потомок 2-й изгибной ветви,0.0,3.926599249042435,1,1,1,1,1,nan,монотонно убывает,малая μ
bending_desc_02,потомок 2-й изгибной ветви,0.45,3.0520263437317063,1,1,1,1,1,0.9999994791693326,монотонно убывает,средняя μ
bending_desc_02,потомок 2-й изгибной ветви,0.9,2.421427230787236,1,1,1,1,1,0.999881758623094,монотонно убывает,большая μ
bending_desc_04,потомок 4-й изгибной ветви,0.09375,6.7350347297105415,3,2,2,2,2,0.9999650566936122,"сначала убывает, затем возрастает; минимум около μ=0.2525, последующий максимум около μ=0.4450",до перестройки
bending_desc_04,потомок 4-й изгибной ветви,0.25,6.199332286603951,3,1,2,1,2,0.9998683378833099,"сначала убывает, затем возрастает; минимум около μ=0.2525, последующий максимум около μ=0.4450",вблизи перестройки
bending_desc_04,потомок 4-й изгибной ветви,0.4,6.933079304410532,3,1,3,1,3,0.9947117492662301,"сначала убывает, затем возрастает; минимум около μ=0.2525, последующий максимум около μ=0.4450",после перестройки
