"branch_id","mu","Lambda","sorted_position","n_halfwaves_left","n_halfwaves_right","nearest_left_reference_family","nearest_right_reference_family","left_bending_energy_fraction","right_bending_energy_fraction","localization_ratio","arm_bias","left_tip_amplitude_fraction","right_tip_amplitude_fraction"
"bending_desc_01","0.13750000000000001","5.026211095633264","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.13875000000000001","5.0312008011652738","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.14124999999999999","5.0412320904582506","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.14374999999999999","5.0513295813831274","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.14624999999999999","5.0614897574346944","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.14874999999999999","5.0717088965948909","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.14999999999999999","5.0768393681495061","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.15125","5.0819831159611564","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.15375","5.0923086492732379","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.15625","5.1026813852870134","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.15875","5.1130970670710676","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.16125","5.1235515345571221","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.16250000000000001","5.1287918539638575","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.16375000000000001","5.1340400918944091","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.16625000000000001","5.1445582068019853","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.16875000000000001","5.1551007977295571","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
"bending_desc_01","0.17125000000000001","5.1656626783498192","2","1","2","1","2","NA","NA","NA","NA","NA","NA"
