"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0","4.6926813604978097","7.0685636154572329","2.3758822549594232","0.40401883641004521","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.012500000000000001","4.6962232776483317","7.0582831621465578","2.3620598844982261","0.40189860741433953","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.01375","4.6969641764732506","7.0561764743244355","2.3592122978511849","0.40146074448467783","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.016250000000000001","4.6986538069722998","7.0514251755418123","2.3527713685695124","0.40046903039048348","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.018749999999999999","4.7006184106967677","7.0459897637043278","2.3453713530075602","0.39932741744442146","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.021250000000000002","4.7028551244237038","7.0399121844638817","2.3370570600401779","0.39804196039401407","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.02375","4.7053606001694295","7.0332358644294857","2.3278752642600562","0.39661901169878833","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.025000000000000001","4.7067130408071707","7.02968690132625","2.3229738605190793","0.39585799256544651","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.026249999999999999","4.7081312574938083","7.0260046904413151","2.3178734329475068","0.39506503814716537","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.028750000000000001","4.7111632233071088","7.0182621346842637","2.3070989113771549","0.39338651996370921","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.03125","4.7144522911950473","7.0100505670073119","2.2955982758122646","0.39158987013360386","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.033750000000000002","4.7179941914982955","7.0014107605868308","2.2834165690885353","0.38968131546342172","2","3","1","1","2","2"
